,ACLED_PK,KPIFK,TimeFK_Event_Date,DateClean,Flashfill,Date Format,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
1026,9847142,95,20181223,20181223,2018-12-23,2018-12-23,3,South Asia,,SRI2977,2977,2018,1,Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Rioters (India),Fishermen (India),5,Military Forces of Sri Lanka (2015-2019),,1,15,Northern,Jaffna,Delft,Neduntheevu,9.5167,79.6833,2,Tamil Guardian,International,"On 23 Dec, near Neduntheevu (Delft, Jaffna), a Navy officer was pushed overboard by a Tamil Nadu fisherman as the Navy group apprehended the fishermen's boats and attempted to search them. The Navy personnel fired shots in the air as the fishermen sailed away.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1027,10074546,95,20191114,20191114,2019-11-14,2019-11-14,3,South Asia,,SRI3844,3844,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Prisoners (Sri Lanka),6,,,0,60,Southern,Hambantota,Angunakolapelessa,Angunakolapelessa,6.164,80.8913,1,Ada Derana,National,"As reported on November 14, a group of prisoners staged a protest in Angunakolapelessa Prison in Angunakolapelessa town (Angunakolapelessa, Hambantota district). The prisoners were demanding Presidential pardon for themselves, after another inmate was recently granted pardon. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1028,10074545,95,20191008,20191008,2019-10-08,2019-10-08,3,South Asia,,SRI3778,3778,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Government of Sri Lanka (2015-2019),6,,,0,60,Western,Colombo,Kaduwela,Battaramulla South,6.8964,79.9181,1,Ada Derana,National,"As reported on October 8, officials of Samurdhi department held a protest in front of the Department of Samurdhi Development in Battaramulla Junction in Battaramulla South locality (Kaduwela, Colombo district). No further information is reported. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1029,10074544,95,20190918,20190918,2019-09-18,2019-09-18,3,South Asia,,SRI3731,3731,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,Western,Colombo,Kaduwela,Sethsiripaya,6.9034,79.9156,1,Hiru News,National,"As reported on September 18, a group of Archaeological workers protested at the Ministry of Housing, Construction and Cultural Affairs in Sethsiripaya town (Kaduwela, Colombo district). The protesters were demanding that their job appointments be made permanent. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1030,10294032,95,20190722,20190722,2019-07-22,2019-07-22,3,South Asia,,SRI3575,3575,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Women (Sri Lanka),6,,,0,60,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News,National,"As reported on July 22, a protest was organized by a group of wives of the dead war heroes in front of the Fort Railway Station in Colombo city (Colombo, Colombo district). The protesters were complaining about the cut in the wages being paid to them. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1031,10294126,95,20190624,20190624,2019-06-24,2019-06-24,3,South Asia,,SRI3471,3471,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Farmers (Sri Lanka),6,,,0,60,Southern,Galle,Karandeniya,Mahaedanda,6.2796,80.0997,1,News1st (Sri Lanka),National,"As reported on June 24, a group of farmers staged a protest along the Elpitiya-Ambalangoda route in Mahaedanda junction (Karandeniya, Galle district), demanding an increase on the prices of cinnamon. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1032,10294136,95,20190712,20190712,2019-07-12,2019-07-12,3,South Asia,,SRI3543,3543,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,Western,Colombo,Colombo,Modara,6.9638,79.8712,1,Hiru News,National,"As reported on July 12, employees of the Pugoda - Weaving Mills gathered at the Modera Kali Kovil in Modara locality (Colombo, Colombo district), to protest about the non-payment of salaries of more than 2000 employees subsequent to the factory being taken over by the government in the year 1999. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1033,10294142,95,20190731,20190731,2019-07-31,2019-07-31,3,South Asia,,SRI3599,3599,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News; Ada Derana,National,"As reported on July 31, protestors, including ambulance drivers, cooks, and junior staff working in hospitals protested on the road around Lipton roundabout near the Ministry of Health in Colombo city (Colombo, Colombo district). The protesters were dissatisfied with authorities for not addressing several of their demands despite repeated requests. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1034,10294164,95,20191015,20191015,2019-10-15,2019-10-15,3,South Asia,,SRI3783,3783,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Former Military Forces of Sri Lanka (2015-2019),6,,,0,60,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Ada Derana,National,"As reported on October 15, disabled war veterans held a protest in Lotus Road of Colombo city (Colombo, Colombo district). No further information was reported. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1035,9845192,95,20181231,20181231,2018-12-31,2018-12-31,3,South Asia,,SRI2993,2993,2018,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Protest with intervention,An attempt to disperse or suppress peaceful protest without serious/lethal injuries being reported or the targeting of protesters with lethal weapons. ,Protesters (Sri Lanka),Tamil Ethnic Group (Sri Lanka),6,Police Forces of Sri Lanka (2015-2019),,1,16,Northern,Mullaitivu,Maritimepattu,Keppapularu,9.2754,80.7553,1,TamilNet; Tamil Guardian,International,"On 31 Dec, in Keppapularu (Maritimepattu, Mullaitivu), Tamils staged a protest outside their lands occupied by the army, demanding the release of their lands which was supposedly scheduled on 31 Dec 2018. Dozens of police officers were deployed at the scene to prevent the protestors from entering their lands. Day 670",0,21:10.3,RES01\svcDW_Admin_UNDP,,
