,ACLED_PK,KPIFK,TimeFK_Event_Date,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
1713,10983719,95,20210203,203,Western Africa,,NIG19672,19672,2021,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Plateau Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Plateau,Bassa,,Bassa,9.9333,8.7333,2,Daily Independent (Nigeria),National,"On 3 February 2021, a Plateau Communal Militia attacked and killed two people in Dundu Village (Bassa LGA, Plateau). Unknown reason for attack.",2,2021-05-06 17:38:13.050,RES01\admcunat,,
1714,10650551,95,20210122,203,Western Africa,,NIG19561,19561,2021,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Kaduna,Chikun,,Kakau,10.3793,7.3915,2,Undisclosed Source; Daily Trust (Nigeria),Local partner-Other,"On 22 January 2021, a Kaduna communal militia attacked Maskoro community in Kakau (Chikun LGA, Kaduna). Two reported fatalities. Unknown reason for attack",2,2021-05-06 17:38:13.050,RES01\admcunat,,
1715,10983657,95,20210212,203,Western Africa,,NIG19798,19798,2021,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Katsina Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Katsina,Sabuwa,,Sabuwa,11.173,7.1172,2,Sahara Reporters,Regional,"On 12 February 2021, a Katsina communal militia attacked Tashar Labo village (Sabuwa LGA, Katsina), killing two residents. Unknown reason for attack.",2,2021-05-06 17:38:13.050,RES01\admcunat,,
1716,10650645,95,20210225,203,Western Africa,,NIG19922,19922,2021,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Zamfara Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Zamfara,Maru,,Dankurmi,11.5462,6.0011,2,Sahara Reporters; Daily Independent (Nigeria),National-Regional,"On 25 February 2021, a Zamfara communal militia attacked and looted Sabuwar Tunga village in Dankurmi (Maru LGA, Zamfara), killing at least 35 residents and carting away livestock. Unknown reason for attack.",35,2021-05-06 17:38:13.050,RES01\admcunat,,
1717,10604143,95,20210315,203,Western Africa,,NIG20138,20138,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Katsina Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Katsina,Jibia,,Jibia,13.0978,7.2225,2,Daily Trust (Nigeria),National,"Around 15 March 2021 (as reported), a Katsina communal group attacked residents who were hunting at Tsayau Forest (Jibia LGA, Katsina), killing 17 and abducting 25 others. Militiaman demanded ransom.",17,2021-05-06 17:38:13.050,RES01\admcunat,,
1718,10650716,95,20210218,203,Western Africa,,NIG19856,19856,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Niger Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Niger,Shiroro,,Gurmana,10.0198,6.6542,2,EONS Intelligence,National,"Around 18 February 2021 (as reported), a Niger communal militia attacked Sarkin Zama, Bakin Kogi (Lagbe), Siyiko and other villages in Gurmana (Shiroro LGA, Niger), killing a yet to be specified number of residents. Unknown fatalities coded as 3.",3,2021-05-06 17:38:13.050,RES01\admcunat,,
1719,10983645,95,20210209,203,Western Africa,,NIG19741,19741,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Military Forces of Nigeria (2015-),,1,Zamfara Communal Militia (Nigeria),,4,14,Zamfara,Gusau,,Gusau,12.1628,6.6614,2,Sahara Reporters; Telegram; Daily Trust (Nigeria),New media-National,"On 9 February 2021, Nigerian military clashed with a Zamfara Communal Militia along Gusau -Tsafe - Funtua road (Gusau LGA, Zamfara) following a distress call from residents about their operations in the area. Nigerian military recovered 14 motorcycles. Reported casualties.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1720,11030525,95,20210106,203,Western Africa,,NIG19205,19205,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Military Forces of Nigeria (2015-),,1,Islamic State (West Africa) - Lake Chad Faction,,2,12,Yobe,Geidam,,Geidam,12.897,11.9304,1,HumAngle; The Cable (Nigeria); CKN Nigeria; Twitter,New media-National,"On 6 January 2021, ISWAP clashed with Nigerian military troops in Geidam (Geidam LGA, Yobe) after attacking the town and abducting the district head. Property damage additionally reported. ISWAP sources report several soldiers were killed and wounded and weapons and ammunition seized.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1721,10650883,95,20210105,203,Western Africa,,NIG19196,19196,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Military Forces of Nigeria (2015-),,1,Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,12,Borno,Askira Uba,,Askira,10.647,12.911,2,Sahara Reporters; HumAngle; Daily Independent (Nigeria),National-Regional,"On 5 January 2021, Boko Haram elements attacked Wamdeo and Chul communities (Askira LGA, Borno) but were repelled by Nigerian military troops. Property damage reported. No reported fatalities.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1722,10983738,95,20210314,203,Western Africa,,NIG20127,20127,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Military Forces of Nigeria (2015-),,1,Islamic State (West Africa) - Lake Chad Faction,,2,12,Borno,Jere,,Dusuman,11.9084,13.2435,2,Daily Trust (Nigeria); Telegram,New media-National,"On 14 March 2021, ISWAP fighters clashed with Nigerian military troops at Zabarmari town in Dusuman (Jere LGA, Borno), allegedly killing and wounding several soldiers. Community sources on the other hand report no soldiers were killed.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
